,user,profile
54,ulrichlechte,MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay
55,ManuelaRottman,"MdB, Grüne, Freilandei, Juristin.
Meinung hier: rein privat"
56,theliberalfrank,Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz
57,aggelidis_g,"Mitglied des Bundestages 2017 -2021 für die FDP | Berater für Finanzplanung und Entwicklung, nachhaltige Geldanlagen und Stiftungen"
58,_MartinNeumann,Mitglied des Vorstandes @FDP_Brandenburg | Mitglied des Deutschen Bundestag @fdpbt 2009-2013 / 2017-2021 | Energiepolitik/Bildungspolitik/Forschungspolitik
59,bhoffmann_mdb,"Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T"
60,GeroHocker,Sprecher für Landwirtschaft und Ernährung bei @fdpbt
61,HJ_Mueller_AfD,
62,JoernKoenigAfD,MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.
63,KatjaKeul,"Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat"
64,FrStraetmanns,"Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!"
65,k_willkomm,"Rechtsanwältin, Aachen, Mitglied Deutscher Bundestag 2017 - 2021, FDP, immer liberal"
66,KirstenKappert,"Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen"
67,TillMansmann,"Südhessisches MdB | Entwicklungspolitischer Sprecher @fdpbt | Innovationsbeauftragter ""Grüner Wasserstoff"" @BMBF_Bund | Mitglied im Finanzausschuss"
68,Erhard_Grundl,im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl
69,JudithSkudelny,Generalsekretärin der FDP BaWü | Mitglied des Deutschen Bundestags | Sprecherin für Umwelt und Verbraucherschutz | Rechtsanwältin | Wahlkreis Stuttgart 1
70,Jacobi_AfD,"Nein.
Nicht F. Jacobi,
ein anderer!"
71,margit_stumpp,
72,MdB_Schreiber,
73,estherdilcher,
74,KatjaMast,"Im Deutschen Bundestag für Pforzheim/Enzkreis, 1. Parlamentarische Geschäftsführerin der SPD-Bundestagsfraktion (@spdbt)."
75,MBiadaczMdB,"🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer"
76,busen_mdb,Abgeordneter des Deutschen Bundestages aus dem Münsterland. Mitglied der @fdp & @fdpbt
77,G_UllrichFDP,"Bundestagsabgeordneter, Wirtschaftsausschuss | MdB @fdpbt 🟡 Bundesvorstand @fdp | stv. Landesvorsitzender @fdp_thueringen 🆕 https://t.co/dLbBFjNIXZ"
78,Amira_M_Ali,"Mitglied des Bundestages | Vorsitzende der @Linksfraktion
https://t.co/R8w0c33WAh"
79,MieruchMario,"Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |
Glaubwürdigkeit & Integrität"
80,Schmidt_MdB,"Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen 
•Team twittert mit"
81,reuther_bernd,"Liberaler MdB | Verkehrspolitischer Sprecher | Mitglied im Sportausschuss | Kreisvorsitzender FDP Wesel |
20. Wahlperiode: Mehr Fortschritt wagen!"
82,axel_knoerig,Vorsitzender der Arbeitnehmergruppe der @cducsubt; Direkt gewählter MdB für den Wahlkreis Diepholz/Nienburg I; Stv. Vorsitzender der @CDA_Bund
83,christophploss,🇪🇺 Leidenschaftlicher Europäer | 🇩🇪 Bundestagsabgeordneter @cducsubt |📍Wahlkreis Hamburg-Nord/Alstertal
84,mdb_freihold,
85,reinholdmdb,Bundestagsabgeordneter für @FDP_MV | Vorsitzender Landesgruppe Ost @fdpbt | Beauftragter für maritime Wirtschaft | Mitglied im Bauausschuss
86,ChrWirthMdB,"Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag"
87,Martin_Sichert,"Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag"
88,JuergenBraunAfD,"@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92"
89,HartmutEbbing,Mitglied des Deutschen Bundestags - WK Steglitz-Zehlendorf -  Kulturpolitischer Sprecher der @fdpbt und Stellvertretendes Mitglied im Finanzausschuss
90,jensmaierafd,
91,drfriesenmdb,
92,Th_Seitz_AfD,Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises
93,SteffenKotre,MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team
94,andreasbleckmdb,"Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos"
95,Brehm_inNBGNord,Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium
96,koehler_fdp,"Stellv. Fraktionsvorsitzender @fdpbt für Klima & Energie, Wirtschaft, Arbeit & Soziales, Gesundheit, Tourismus; Generalsekretär @fdpbay + Mitglied BuVo @fdp"
97,DrMEspendiller,"MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten

 https://t.co/289KgIEfGE"
98,BrunnerGanzOhr,"🌈 Für die Menschen und Twitter-Bots ""ganz Ohr""."
99,volker_munz,
100,danywagner_da,
101,SchaeferCDU,Bundestagsabgeordnete der CDU im Wahlkreis 210
102,carina_konrad,"Freie & liberale Agraringenieurin - stv. Vorsitzende der FDP Bundestagsfraktion, stv. Vorsitzende der FDP RLP - landsüchtig & lebenslustig 🌳💛"
103,Martin_Hess_AfD,
104,SybilleBenning,Bundestagsabgeordnete für die Stadt Münster. Ich twittere selbst (/sb) oder mein Team (/tb).
105,CorinnaMiazga,"Abgeordnete des Deutschen Bundestages, Stellv. Fraktionsvorsitzende der @AfDimBundestag. Wahlkreis Straubing, gewählt über die Landesliste."
106,NKleinwaechter,"Stellvertretender Vorsitzender der AfD-Bundestagsfraktion im 20. Deutschen Bundestag. 

FB: https://t.co/APcCpLsHGw…
IG: https://t.co/vkMUrOy2iw"
107,S_Muenzenmaier,Stellv. AfD-Fraktionsvorsitzender | Ihr Abgeordneter aus Rheinland-Pfalz
108,mvabercron,
109,Meyer_FDP,"Berliner MdB, stellv. Vorsitzender der @fdpbt, Freiheitsfreund in der @FDP, Landesvorsitzender der @FDP_Berlin. Wenn mein Team mal twittert, dann unter TM."
110,sandra_weeser,"MdB (@fdpbt), Vorsitzende des Ausschusses Bauen & Wohnen, Mitglied im Vorstand von @fdprlp und @fdpbt, Mitglied im #FDP-BuVo"
111,JBrandenburgFDP,Parl. Staatssekretär @bmbf_bund | MdB | @fdpbt | 🏳️‍🌈 | Mein Team twittert als (TB)
112,GustavHerzogMdB,Direkt gewählter Abgeordneter des Wahlkreises Kaiserslautern im deutschen Bundestag bis 2021. Mitglied der SPD
113,AchimKessler,
114,UdoHemmelgarn,Freigeist!
115,KlausMindrup,"MdB 2013-2021 • SPD • Diplom-Biologe • aktiver Genossenschaftler mit PV auf dem Dach und BHKW • weiter für EE, Klimaschutz und bezahlbaren Wohnraum aktiv"
116,NinaScheer_SPD,"SPD-Bundestagsabgeordnete, Klimaschutz- und Energiepolitische Sprecherin SPD-Bundestagsfraktion - tweete selbst, Initiatorin von https://t.co/h1UkZlyaqZ"
117,h_weyel,"MdB, EU-politischer Sprecher der AfD-FRAKTION seit 2017; Themen: #EU, Außen(wirtschafts)- sowie (inter)nationale Geschichts- & Identitäts-POLITIK"
118,Alice_Weidel,Fraktionsvorsitzende der @AfDimBundestag | AfD-Bundessprecherin
119,Rene_Springer,AfD | Brandenburg | Abgeordneter im Deutschen Bundestag | Arbeits- und sozialpolitischer Sprecher der AfD-Fraktion | stv. Mitglied im Auswärtigen Ausschuss
120,c_bernstiel,Stadtrat in Halle (Saale) | Bundestagsabgeordneter von 2017 - 2021 für #Halle #Landsberg #Petersberg #Kabelsketal | https://t.co/f2RSGhIkd3
121,Oehmeulrich,"Ich kandidiere als Oberbürgermeister für Chemnitz. Auf dieser Präsenz möchte ich Sie über meine Aktivitäten, Pläne und Termine informieren."
122,VoepelDirk,
123,WSchinnenburg,"Zahnarzt, Rechtsanwalt, Mitglied der Bezirksversammlung Hamburg-Nord. Asphalt-Cowboy. Anti-Prokrastinator. Raffaello-Addict."
124,HoubenReinhard,"MdB, Wirtschaftspolitischer Sprecher🚀, Obmann im Wirtschaftsausschuss 🏛 für die @fdpbt. Tweets vom Team sind mit (TH) gekennzeichnet."
125,katrin_staffler,Mitglied des Deutschen Bundestages 🇩🇪 | Direkt gewählte Abgeordnete für den Wahlkreis FFB/DAH 💙🤍 | Bildung und Forschung 📚🔬
126,hans_michelbach,
127,ProfMaier,"Professor für Verbraucherschutz
Mitglied des dt. Bundestages 2017-2021 
2015-2017 Sprecher AfD BW 
Bücher u.a.: ""Was von Deutschland übriggbleibt""; ""DEXIT""."
128,StephPilsinger,"Arzt, Münchner, Bundestagsabgeordneter im Wahlkreis München-West/Mitte"
129,M_HarderKuehnel,Stv. Bundessprecherin | MdB für die #AfD | Wahlkreis 175 (Main-Kinzig-Wetterau II-Schotten)
130,JoanaCotar,"Mitglied des Deutschen Bundestages, fraktions- und parteilos"
131,DrJoeWeingarten,Direkt gewählter SPD-MdB für Bad Kreuznach/Birkenfeld (RLP); Wirtschafts- und Verteidigungspolitik. Hier twittern mein Team und ich.
132,PetrBystronAfD,"Aussenpolitischer Sprecher der @AfDimBundestag  | https://t.co/QVsSs8RsxU |  https://t.co/xxAb104OUZ https://t.co/1dUXDYzfWE |
verified by postillion 📯"
133,DirkSpaniel,"#MdB #Stuttgart. Verkehrspolitischer Sprecher #AfDimBundestag. Maschinenbauingenieur, Macher, Familienvater, Patriot.

https://t.co/Xow8TkJvmJ"
134,DerDanyal,🇪🇺 Europäer • 👶🏼 Vater • 💶 Minister @finanzenbw
135,mischrodi,SPD-MdB für Dachau + Fürstenfeldbruck. Finanzpolitischer Sprecher der Bundestagsfraktion. Demokratischer Sozialist und Sechzger. Twittere selbst.
136,MarcBernhardAfD,#Bundestagsabgeordneter • Sprecher der Landesgruppe Baden-Württemberg • Sprecher #AfD #Karlsruhe
137,Dr_Rainer_Kraft,"MdB des Wahlkreis Augsburg-Land, Landesgruppenvorsitzender, Sprecher für Nuklearpolitik und Nachhaltigkeitspolitik bei @AfDimBundestag"
138,BraFDP,"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL40 | 
(TB) = Team Brandenburg"
139,mueller_sepp,"Abgeordneter für Dessau-Roßlau und den Landkreis Wittenberg, stellv. Fraktionsvorsitzender der CDU/ CSU- Fraktion — Mein Team twittert unter tm - Foto:@toko"
140,Matthiasnoelke,📍 Kassel / Berlin 👱🏻‍♂️ Liberal 🧳 Ex-MdB @fdpbt 🏗 Startups 🏎 Cars ✈️ Travel 🖼 Art & History
141,AkbulutGokay,"MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team"
142,Tino_Chrupalla,Bundessprecher der #AfD |  Fraktionsvorsitzender der @AfDimBundestag | Handwerksmeister aus Görlitz
143,GruebelMdb,CDU-Bundestagsabgeordneter WK Esslingen Parlamentarischer Staatssekretär a.D. Notar i.R. Beauftragter der Bundesregierung für weltweite Religionsfreiheit a.D.
144,StefanKeuterAfD,@AfDimBundestag-MdB für den WK 120 (Essen).
145,MuellerChemnitz,"Lokomotivführer. MdB, Stellvertretender Vorsitzender der SPD-Bundestagsfraktion. Verkehr & Digitales. Stadtrat in Chemnitz. Twittere selbst."
146,FGuentzler,Bundestagsabgeordneter 🇩🇪🙋‍♂️I Wirtschaftsprüfer und Steuerberater 😊I FC Bayern-Fan ⚽️ I Göttingen 💪
147,Paul_Podolay,"Paul Viktor Podolay, @AfDimBundestag-MdB. | AfD Delegierter bei der OSCE PA. | Folgen Sie auch @AfD #AfD #Bundestag ➡️FB: https://t.co/hbm2IHNhdM"
148,Neumann_AfD,"Christoph Neumann, @AfDimBundestag-MdB. | Profil im Aufbau. | Folgen Sie bitte auch @AfD & @AfDKompakt. #AfD #Bundestag"
149,LeniBreymaier,"Bundestagsabgeordnete (SPD), aus Baden-Württemberg, WK Aalen-Heidenheim - Schwerpunkte: Wahlrecht, Altersarmut, Entgeltgleichheit, Prostitution."
150,Leif_Erik_Holm,"Stv. Fraktionsvorsitzender @AfDimBundestag, Wirtschaftspolitischer Sprecher, Landessprecher @AfD_MV 
(th= Team Holm)"
151,josip_juratovic,"Unser Arbeiter in Berlin.

Wahlkreis Heilbronn, Auswärtiger Ausschuss: Westbalkan und Europa.

Tweets: Team Juratovic"
152,SabinePoschmann,
153,Marcus_Buehl,"Mitglied der AfD-Bundestagsfraktion, Mitglied im Haushaltsausschuss, stellv. Mitglied im Innenausschuss. Ihre Thüringer Stimme in Berlin."
154,MdB_Ulrike_Bahr,"Mittelschullehrerin, Stadträtin bis 2014, Mitglied des Bundestags seit 2013, Schwerpunkte: Familien- und Bildungspolitik; @spdbt"
155,Schneider_AfD,"Jörg Schneider, @AfDimBundestag-MdB (im Ausschuss für Arbeit+Soziales & im Gesundheitsausschuss), #AfD-Landesgruppe #NRW | Kreissprecher @AfD_GE #Gelsenkirchen."
156,Jochen_Haug,Rechtsanwalt | Mitglied des 19. u. 20. Deutschen Bundestages @AfDimBundestag | EU-Ausschuß | #AfD
157,StBrandner,"Industriekaufmann, Rechtsanwalt, MdB🇩🇪 - direkt gewählt im WK 194 (Gera-Greiz-Altenburger Land), natürlich: #AfD👍"
158,DrLaunert,
159,StefingerMdB,Münchner. Bayer. Bundestagsabgeordneter. Obmann der CDU/CSU-Fraktion im Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung
160,RyglewskiS,"SPD-Bundestagsabgeordnete für den Wahlkreis 54 - Bremen I,
Staatsministerin beim Bundeskanzler, hier privat unterwegs"
161,DorisAchelwilm,@dorisachelwilm@norden.social
162,dr_tiemann,
163,HajdukBundestag,
164,MichaelFrieser,"#MdB #Bundestagsabgeordneter, Justitiar der @cducsubt. Aus #Nuernberg"
165,ZdebelHubertus,Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke
166,Witt_Uwe,"Mitglied des Deutschen Bundestages, parteilos"
167,ElsnervonGronow,"Ehem. Mitglied des Deutschen Bundestags (WK 146 #Soest). 
Verteidigungs- und Sicherheitspolitik"
168,NorbertMuellerP,sozialistisch - links - demokratisch - antifaschistisch. Hier privat.
169,MichaelKuffer,Mitglied des Deutschen Bundestages
170,jankortemdb,"1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team. 
🐘 @jankorte@social.linksfraktion.de"
171,Marc_Jongen,"Kulturpolitischer Sprecher der @AfDimBundestag, Mitglied in den Ausschüssen für Kultur & Medien und für Bildung, Forschung & Technikfolgenabschätzung"
172,stamm_fibich,"Bundestagsabgeordnete, 
Vorsitzende des Petitionsausschusses,
Patientenbeauftragte der SPD-Bundestagsfraktion"
173,KorkmazGT,Digitalpolitikerin | stellvertretende Vorsitzende @NRWSPD
174,YvonneMagwas,"Vizepräsidentin des Deutschen Bundestages, direkt gewählte Bundestagsabgeordnete @cducsubt für das Vogtland."
175,UdoSchiefner,
176,thlutze,
177,DerLenzMdB,"Mitglied des Deutschen Bundestags, CSU, Wahlkreis 213 Erding-Ebersberg, Energie; Wirtschaft; Nachhaltigkeit und alles andere.."
178,CarstenTraeger,Umweltpolitischer Sprecher der SPD-Bundestagsfraktion; MdB
179,Toens_NRW04,"Sozialdemokrat, Europäer, Schalker, Mitglied des Bundestag für den WK Gelsenkirchen, stellvertretender Vorsitzender EU-Ausschuss #spd #schalke"
180,vonGottberg_AfD,"MdB Wilhelm von Gottberg, Bundestagsabgeordneter der #AfD #Niedersachsen. | Nur Platzhalter-/Support-Acc., Kontakt also nicht hier, sondern an @AfDimBundestag."
181,Jan_Nolte_AfD,Klarer Kurs für Deutschland! 🇩🇪
182,WaldemarHerdt,"Waldemar Herdt, @AfDimBundestag-MdB. #AfD #Bundestag | Folgen Sie bitte auch @AfD, @AfDRus & @AfDKompakt. https://t.co/QS2dIZ5bsA"
183,Ulrich_Oehme,"Ulrich Oehme, @AfDimBundestag-MdB | Bitte auch @AfD & @AfDKompakt folgen! https://t.co/mVD5hakXZR"
184,PeterFelser,MdB Peter Felser
185,matthiasbartke,
186,AWidmannMauz,"#MdB Wahlkreis #Tübingen, Staatsministerin a.D., @CDU-Bundesvorstand, Bundesvorsitzende Frauen Union #FU"
187,victorperli,Mitglied des Bundestages • Haushaltsausschuss • Meldeportal https://t.co/V8zESLgpPc • Sprecher für Umverteilung @linksfraktion • Vorstand @rosaluxstiftung
188,stadler_svenja,🌹Bundestagsabgeordnete SPD | 📍Wahlkreis LK Harburg | 💰Haushaltspolitikerin mit ❤️ für 🌳 und 🐱| 👩🏼‍💼Kuratoriumsvorsitzende @mgw_berlin
189,Thomas_Ehrhorn,@AfDimBundestag-MdB der #AfD #Niedersachsen.
190,AndreasSteier,MdB für Trier und Trier-Saarburg 2017-2021 | Ingenieur und Erfinder mit mehreren Patenten | Künstliche Intelligenz und Innovationen | @cdu @cdurlp @cducsubt
191,TorbjoernKartes,"Kreisvorsitzender CDU Ludwigshafen, Familienvater, Rechtsanwalt"
192,siegbert_droese,
193,Heiko_Wildberg,"Dr. Heiko Wildberg, @AfDimBundestag-MdB | Profil im Aufbau. | Bitte auch @AfD & @AfDKompakt folgen!"
194,MarkusPaschke,SPD-Bundestagsabgeordneter a.D. für den Wahlkreis Unterems
195,Nicole_Hoechst,Folgen Sie bitte auch @AfDimBundestag  @AfD
196,MAStrackZi,MdB | Vorsitzende Verteidigungsausschuss | Mitglied FDP-Bundesvorstand | Mitglied @fdpbt-Fraktionsvorstand | Bürgermeisterin a.D. | 🏍-Fahrerin
197,BerndBaumannAfD,"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"
198,BerndBaumannAfD,"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"
199,michael_g_link,Mitglied des Deutschen Bundestages; Sprecher für Europapolitik @fdpbt; Transatlantik-Koordinator; Staatsminister a.D.; @osce_odihr Direktor a.D.
200,GabyKatzmarek,"Hier twittert Gabriele Katzmarek, #MdB, Mitglied der SPD-Bundestagsfraktion. Im Bundestag für den Bundestagswahlkreis Rastatt/Baden-Baden."
201,Peter_Stein_CDU,"Entwicklungspolitik, Erneuerbare Energien, Stadtplaner, ehem. MdB, jetzt @BrotfürdieWelt, Volleyballer, Christ, Eine Welt"
202,MarcusHeld_SPD,https://t.co/KWxXruqQUB
203,DeRidder_MdB,
204,UllaJelpke,"Zeit für einen Abschied.
Account nutzte ich in meiner Zeit als innenpolitische Sprecherin der @linksfraktion im Deutschen Bundestag von 1990-2002 + 2005-2021."
205,AlexanderRadwan,"Direkt gewählter Abgeordneter für Bad Tölz-Wolfratshausen und Miesbach. Europa & Auswärtiges, manchmal noch Finanzen. Europapolitischer Sprecher der CSU im BT."
206,MichaelGrossAWO,AWO Präsidiumsvorsitzender
207,fritzfelgentreu,"Mitglied des 18. und des 19. Deutschen Bundestages. @Reichsbanner Schwarz-Rot-Gold, @Volksbund deutsche Kriegsgräberfürsorge, @spdneukoelln. Discite Donatum!"
208,NBaradari,
209,cdu_schweiger,Mitglied des Landesvorstandes der CDU Sachsen-Anhalt und Kreisvorsitzender der CDU Mansfeld-Südharz
210,KoobMar,
211,Lothar_Binding,Bundesvorsitzender AG SPD 60 plus | Finanzpolitischer Sprecher der SPD-Bundestagsfraktion @spdbt (2012-2021) | MdB für Heidelberg & die Bergstraße (1998-2021)
212,Conni_Moehring,Feministin - MdB LINKE im Bundestag Sprecherin Entwicklungspolitik #reproduktiveGerechtigkeit #GlobaleSolidarität #sexuelleSelbstbestimmung #globalHealth
213,uwe_kamann,
214,M_Reichardt_AfD,"Familienpolitischer Sprecher @AfDimBundestag Mitglied des @AfD Bundesvorstands
Landesvorsitzender und #BTW-Spitzenkandidat der @AfD_LSA | Direktkandidat WK 73"
215,Renner_AfD,"Martin E. Renner, @AfDimBundestag-MdB. #Bundestag #AfD #NRW"
216,Huber_AfD,"Johannes Huber, @AfDimBundestag-MdB. | Profil im Aufbau. | Folgen Sie bitte auch @AfD & @AfDKompakt. #AfD #Bundestag"
