X;twitter_handle;profile;user_id;party
39;BrittaDassler;Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt;9,98867E+17;FDP
40;HerbrandMarkus;MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen;9,97139E+17;FDP
41;MdBKlein;Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg;9,95228E+17;FDP
42;NicoleWestig;#MdB | Pflegepolitische Sprecherin @fdpbt;9,89145E+17;FDP
43;ulrichlechte;MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay;9,88765E+17;FDP
44;ManuelaRottman;"MdB, Grüne, Freilandei, Juristin.
Meinung hier: rein privat";9,84735E+17;Bündnis 90/Die Grünen
45;theliberalfrank;Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz;9,84048E+17;FDP
46;aggelidis_g;Mitglied des Bundestages 2017 -2021 für die FDP | Berater für Finanzplanung und Entwicklung, nachhaltige Geldanlagen und Stiftungen;9,76107E+17;FDP
47;_MartinNeumann;Mitglied des Vorstandes @FDP_Brandenburg | Mitglied des Deutschen Bundestag @fdpbt 2009-2013 / 2017-2021 | Energiepolitik/Bildungspolitik/Forschungspolitik;9,74589E+17;FDP
48;bhoffmann_mdb;Parl. Staatssekretärin @BMUV, MdB @gruenebundestag, Diplom-Biologin (Dr. rer. nat.), Team-Tweets: T;9,7104E+17;Bündnis 90/Die Grünen
49;GeroHocker;Sprecher für Landwirtschaft und Ernährung bei @fdpbt;9,66707E+17;FDP
50;JoernKoenigAfD;MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.;9,60975E+17;AfD
51;KatjaKeul;Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat;9,59105E+17;Bündnis 90/Die Grünen
52;FrStraetmanns;Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!;9,5906E+17;DIE LINKE
53;k_willkomm;Rechtsanwältin, Aachen, Mitglied Deutscher Bundestag 2017 - 2021, FDP, immer liberal;9,58635E+17;FDP
54;KirstenKappert;Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen;9,55358E+17;Bündnis 90/Die Grünen
55;TillMansmann;"Südhessisches MdB | Entwicklungspolitischer Sprecher @fdpbt | Innovationsbeauftragter ""Grüner Wasserstoff"" @BMBF_Bund | Mitglied im Finanzausschuss";9,5405E+17;FDP
56;Erhard_Grundl;im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl;9,51774E+17;Bündnis 90/Die Grünen
57;JudithSkudelny;Generalsekretärin der FDP BaWü | Mitglied des Deutschen Bundestags | Sprecherin für Umwelt und Verbraucherschutz | Rechtsanwältin | Wahlkreis Stuttgart 1;9,48959E+17;FDP
58;Jacobi_AfD;"Nein.
Nicht F. Jacobi,
ein anderer!";9,44181E+17;AfD
59;KatjaMast;Im Deutschen Bundestag für Pforzheim/Enzkreis, 1. Parlamentarische Geschäftsführerin der SPD-Bundestagsfraktion (@spdbt).;9,37679E+17;SPD
60;MBiadaczMdB;🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer;9,35815E+17;CDU
61;busen_mdb;Abgeordneter des Deutschen Bundestages aus dem Münsterland. Mitglied der @fdp & @fdpbt;9,35555E+17;FDP
62;G_UllrichFDP;Bundestagsabgeordneter, Wirtschaftsausschuss | MdB @fdpbt 🟡 Bundesvorstand @fdp | stv. Landesvorsitzender @fdp_thueringen 🆕 https://t.co/dLbBFjNIXZ;9,35456E+17;FDP
63;Amira_M_Ali;"Mitglied des Bundestages | Vorsitzende der @Linksfraktion
https://t.co/R8w0c33WAh";9,34029E+17;DIE LINKE
64;MieruchMario;"Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |
Glaubwürdigkeit & Integrität";9,32932E+17;Liberal-Konservative Reformer
65;Schmidt_MdB;"Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen 
•Team twittert mit";9,30726E+17;Bündnis 90/Die Grünen
66;reuther_bernd;"Liberaler MdB | Verkehrspolitischer Sprecher | Mitglied im Sportausschuss | Kreisvorsitzender FDP Wesel |
20. Wahlperiode: Mehr Fortschritt wagen!";9,30422E+17;FDP
67;axel_knoerig;"Vorsitzender der Arbeitnehmergruppe der @cducsubt; Direkt gewählter MdB für den Wahlkreis Diepholz/Nienburg I; Stv. Vorsitzender der @CDA_Bund";9,28975E+17;CDU
68;christophploss;🇪🇺 Leidenschaftlicher Europäer | 🇩🇪 Bundestagsabgeordneter @cducsubt |📍Wahlkreis Hamburg-Nord/Alstertal;9,28336E+17;CDU
69;reinholdmdb;Bundestagsabgeordneter für @FDP_MV | Vorsitzender Landesgruppe Ost @fdpbt | Beauftragter für maritime Wirtschaft | Mitglied im Bauausschuss;9,25658E+17;FDP
70;ChrWirthMdB;Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag;9,20194E+17;AfD
71;Martin_Sichert;Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag;9,18406E+17;AfD
72;JuergenBraunAfD;"@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92";9,17756E+17;AfD
73;HartmutEbbing;Mitglied des Deutschen Bundestags - WK Steglitz-Zehlendorf -  Kulturpolitischer Sprecher der @fdpbt und Stellvertretendes Mitglied im Finanzausschuss;9,16951E+17;FDP
74;Th_Seitz_AfD;Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises;9,13359E+17;AfD
75;SteffenKotre;MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team;9,12223E+17;AfD
76;andreasbleckmdb;Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos;9,10879E+17;AfD
77;Brehm_inNBGNord;Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium;9,04305E+17;CSU
78;koehler_fdp;"Stellv. Fraktionsvorsitzender @fdpbt für Klima & Energie, Wirtschaft, Arbeit & Soziales, Gesundheit, Tourismus; Generalsekretär @fdpbay + Mitglied BuVo @fdp";8,98597E+17;FDP
79;DrMEspendiller;"MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten

 https://t.co/289KgIEfGE";8,85168E+17;AfD
80;BrunnerGanzOhr;"🌈 Für die Menschen und Twitter-Bots ""ganz Ohr"".";8,8293E+17;SPD
81;SchaeferCDU;Bundestagsabgeordnete der CDU im Wahlkreis 210;8,74474E+17;CDU
82;carina_konrad;Freie & liberale Agraringenieurin - stv. Vorsitzende der FDP Bundestagsfraktion, stv. Vorsitzende der FDP RLP - landsüchtig & lebenslustig 🌳💛;8,74305E+17;FDP
83;SybilleBenning;Bundestagsabgeordnete für die Stadt Münster. Ich twittere selbst (/sb) oder mein Team (/tb).;8,69206E+17;CDU
84;CorinnaMiazga;Abgeordnete des Deutschen Bundestages, Stellv. Fraktionsvorsitzende der @AfDimBundestag. Wahlkreis Straubing, gewählt über die Landesliste.;8,68762E+17;AfD
85;NKleinwaechter;"Stellvertretender Vorsitzender der AfD-Bundestagsfraktion im 20. Deutschen Bundestag. 

FB: https://t.co/APcCpLsHGw…
IG: https://t.co/vkMUrOy2iw";8,65921E+17;AfD
86;S_Muenzenmaier;Stellv. AfD-Fraktionsvorsitzender | Ihr Abgeordneter aus Rheinland-Pfalz;8,63658E+17;AfD
87;Meyer_FDP;Berliner MdB, stellv. Vorsitzender der @fdpbt, Freiheitsfreund in der @FDP, Landesvorsitzender der @FDP_Berlin. Wenn mein Team mal twittert, dann unter TM.;8,61992E+17;FDP
88;sandra_weeser;MdB (@fdpbt), Vorsitzende des Ausschusses Bauen & Wohnen, Mitglied im Vorstand von @fdprlp und @fdpbt, Mitglied im #FDP-BuVo;8,58363E+17;FDP
89;JBrandenburgFDP;Parl. Staatssekretär @bmbf_bund | MdB | @fdpbt | 🏳️‍🌈 | Mein Team twittert als (TB);8,57907E+17;FDP
90;GustavHerzogMdB;Direkt gewählter Abgeordneter des Wahlkreises Kaiserslautern im deutschen Bundestag bis 2021. Mitglied der SPD;8,57002E+17;SPD
91;UdoHemmelgarn;Freigeist!;8,4906E+17;AfD
92;KlausMindrup;MdB 2013-2021 • SPD • Diplom-Biologe • aktiver Genossenschaftler mit PV auf dem Dach und BHKW • weiter für EE, Klimaschutz und bezahlbaren Wohnraum aktiv;8,45283E+17;SPD
93;NinaScheer_SPD;SPD-Bundestagsabgeordnete, Klimaschutz- und Energiepolitische Sprecherin SPD-Bundestagsfraktion - tweete selbst, Initiatorin von https://t.co/h1UkZlyaqZ;8,45214E+17;SPD
94;h_weyel;"MdB, EU-politischer Sprecher der AfD-FRAKTION seit 2017; Themen: #EU, Außen(wirtschafts)- sowie (inter)nationale Geschichts- & Identitäts-POLITIK";8,41413E+17;AfD
95;Alice_Weidel;Fraktionsvorsitzende der @AfDimBundestag | AfD-Bundessprecherin;8,33398E+17;AfD
96;Rene_Springer;AfD | Brandenburg | Abgeordneter im Deutschen Bundestag | Arbeits- und sozialpolitischer Sprecher der AfD-Fraktion | stv. Mitglied im Auswärtigen Ausschuss;8,31542E+17;AfD
97;c_bernstiel;Stadtrat in Halle (Saale) | Bundestagsabgeordneter von 2017 - 2021 für #Halle #Landsberg #Petersberg #Kabelsketal | https://t.co/f2RSGhIkd3;8,30086E+17;CDU
98;Oehmeulrich;Ich kandidiere als Oberbürgermeister für Chemnitz. Auf dieser Präsenz möchte ich Sie über meine Aktivitäten, Pläne und Termine informieren.;8,29731E+17;AfD
99;WSchinnenburg;Zahnarzt, Rechtsanwalt, Mitglied der Bezirksversammlung Hamburg-Nord. Asphalt-Cowboy. Anti-Prokrastinator. Raffaello-Addict.;8,28943E+17;FDP
100;HoubenReinhard;MdB, Wirtschaftspolitischer Sprecher🚀, Obmann im Wirtschaftsausschuss 🏛 für die @fdpbt. Tweets vom Team sind mit (TH) gekennzeichnet.;8,2507E+17;FDP
101;katrin_staffler;Mitglied des Deutschen Bundestages 🇩🇪 | Direkt gewählte Abgeordnete für den Wahlkreis FFB/DAH 💙🤍 | Bildung und Forschung 📚🔬;8,2502E+17;CSU
102;ProfMaier;"Professor für Verbraucherschutz
Mitglied des dt. Bundestages 2017-2021 
2015-2017 Sprecher AfD BW 
Bücher u.a.: ""Was von Deutschland übriggbleibt""; ""DEXIT"".";8,24211E+17;AfD
103;StephPilsinger;Arzt, Münchner, Bundestagsabgeordneter im Wahlkreis München-West/Mitte;8,19914E+17;CSU
104;M_HarderKuehnel;Stv. Bundessprecherin | MdB für die #AfD | Wahlkreis 175 (Main-Kinzig-Wetterau II-Schotten);8,15699E+17;AfD
105;JoanaCotar;Mitglied des Deutschen Bundestages, fraktions- und parteilos;8,14971E+17;AfD
106;DrJoeWeingarten;"Direkt gewählter SPD-MdB für Bad Kreuznach/Birkenfeld (RLP); Wirtschafts- und Verteidigungspolitik. Hier twittern mein Team und ich.";8,1196E+17;SPD
107;PetrBystronAfD;"Aussenpolitischer Sprecher der @AfDimBundestag  | https://t.co/QVsSs8RsxU |  https://t.co/xxAb104OUZ https://t.co/1dUXDYzfWE |
verified by postillion 📯";8,10958E+17;AfD
108;DirkSpaniel;"#MdB #Stuttgart. Verkehrspolitischer Sprecher #AfDimBundestag. Maschinenbauingenieur, Macher, Familienvater, Patriot.

https://t.co/Xow8TkJvmJ";8,10537E+17;AfD
109;DerDanyal;🇪🇺 Europäer • 👶🏼 Vater • 💶 Minister @finanzenbw;8,08401E+17;Bündnis 90/Die Grünen
110;mischrodi;SPD-MdB für Dachau + Fürstenfeldbruck. Finanzpolitischer Sprecher der Bundestagsfraktion. Demokratischer Sozialist und Sechzger. Twittere selbst.;8,06975E+17;SPD
111;MarcBernhardAfD;#Bundestagsabgeordneter • Sprecher der Landesgruppe Baden-Württemberg • Sprecher #AfD #Karlsruhe;8,05824E+17;AfD
112;Dr_Rainer_Kraft;MdB des Wahlkreis Augsburg-Land, Landesgruppenvorsitzender, Sprecher für Nuklearpolitik und Nachhaltigkeitspolitik bei @AfDimBundestag;8,04065E+17;AfD
113;BraFDP;"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL40 | 
(TB) = Team Brandenburg";8,02968E+17;FDP
114;mueller_sepp;Abgeordneter für Dessau-Roßlau und den Landkreis Wittenberg, stellv. Fraktionsvorsitzender der CDU/ CSU- Fraktion — Mein Team twittert unter tm - Foto:@toko;8,01803E+17;CDU
115;Matthiasnoelke;📍 Kassel / Berlin 👱🏻‍♂️ Liberal 🧳 Ex-MdB @fdpbt 🏗 Startups 🏎 Cars ✈️ Travel 🖼 Art & History;8,00824E+17;FDP
116;AkbulutGokay;MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team;8,00458E+17;DIE LINKE
117;Tino_Chrupalla;Bundessprecher der #AfD |  Fraktionsvorsitzender der @AfDimBundestag | Handwerksmeister aus Görlitz;7,97137E+17;AfD
118;GruebelMdb;CDU-Bundestagsabgeordneter WK Esslingen Parlamentarischer Staatssekretär a.D. Notar i.R. Beauftragter der Bundesregierung für weltweite Religionsfreiheit a.D.;7,96691E+17;CDU
119;StefanKeuterAfD;@AfDimBundestag-MdB für den WK 120 (Essen).;7,94628E+17;AfD
120;MuellerChemnitz;Lokomotivführer. MdB, Stellvertretender Vorsitzender der SPD-Bundestagsfraktion. Verkehr & Digitales. Stadtrat in Chemnitz. Twittere selbst.;7,8476E+17;SPD
121;FGuentzler;Bundestagsabgeordneter 🇩🇪🙋‍♂️I Wirtschaftsprüfer und Steuerberater 😊I FC Bayern-Fan ⚽️ I Göttingen 💪;7,79602E+17;CDU
122;Paul_Podolay;Paul Viktor Podolay, @AfDimBundestag-MdB. | AfD Delegierter bei der OSCE PA. | Folgen Sie auch @AfD #AfD #Bundestag ➡️FB: https://t.co/hbm2IHNhdM;7,74308E+17;AfD
123;Neumann_AfD;Christoph Neumann, @AfDimBundestag-MdB. | Profil im Aufbau. | Folgen Sie bitte auch @AfD & @AfDKompakt. #AfD #Bundestag;7,60188E+17;AfD
124;LeniBreymaier;Bundestagsabgeordnete (SPD), aus Baden-Württemberg, WK Aalen-Heidenheim - Schwerpunkte: Wahlrecht, Altersarmut, Entgeltgleichheit, Prostitution.;7,48454E+17;SPD
125;Leif_Erik_Holm;"Stv. Fraktionsvorsitzender @AfDimBundestag, Wirtschaftspolitischer Sprecher, Landessprecher @AfD_MV 
(th= Team Holm)";7,39531E+17;AfD
126;josip_juratovic;"Unser Arbeiter in Berlin.

Wahlkreis Heilbronn, Auswärtiger Ausschuss: Westbalkan und Europa.

Tweets: Team Juratovic";7,38732E+17;SPD
127;Marcus_Buehl;Mitglied der AfD-Bundestagsfraktion, Mitglied im Haushaltsausschuss, stellv. Mitglied im Innenausschuss. Ihre Thüringer Stimme in Berlin.;7,2936E+17;AfD
128;MdB_Ulrike_Bahr;"Mittelschullehrerin, Stadträtin bis 2014, Mitglied des Bundestags seit 2013, Schwerpunkte: Familien- und Bildungspolitik; @spdbt";7,24566E+17;SPD
129;Schneider_AfD;Jörg Schneider, @AfDimBundestag-MdB (im Ausschuss für Arbeit+Soziales & im Gesundheitsausschuss), #AfD-Landesgruppe #NRW | Kreissprecher @AfD_GE #Gelsenkirchen.;7,19976E+17;AfD
130;Jochen_Haug;Rechtsanwalt | Mitglied des 19. u. 20. Deutschen Bundestages @AfDimBundestag | EU-Ausschuß | #AfD;7,17077E+17;AfD
131;StBrandner;Industriekaufmann, Rechtsanwalt, MdB🇩🇪 - direkt gewählt im WK 194 (Gera-Greiz-Altenburger Land), natürlich: #AfD👍;7,13361E+17;AfD
132;StefingerMdB;Münchner. Bayer. Bundestagsabgeordneter. Obmann der CDU/CSU-Fraktion im Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung;4866955749;CSU
133;RyglewskiS;"SPD-Bundestagsabgeordnete für den Wahlkreis 54 - Bremen I,
Staatsministerin beim Bundeskanzler, hier privat unterwegs";4858227178;SPD
134;DorisAchelwilm;@dorisachelwilm@norden.social;4819478705;DIE LINKE
135;MichaelFrieser;#MdB #Bundestagsabgeordneter, Justitiar der @cducsubt. Aus #Nuernberg;4577700622;CDU
136;ZdebelHubertus;Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke;4557858142;DIE LINKE
137;Witt_Uwe;Mitglied des Deutschen Bundestages, parteilos;4503658823;AfD
138;ElsnervonGronow;"Ehem. Mitglied des Deutschen Bundestags (WK 146 #Soest). 
Verteidigungs- und Sicherheitspolitik";4429947807;AfD
139;NorbertMuellerP;sozialistisch - links - demokratisch - antifaschistisch. Hier privat.;4265444913;DIE LINKE
140;MichaelKuffer;Mitglied des Deutschen Bundestages;4249342037;CSU
141;jankortemdb;"1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team. 
🐘 @jankorte@social.linksfraktion.de";4164673821;DIE LINKE
142;Marc_Jongen;Kulturpolitischer Sprecher der @AfDimBundestag, Mitglied in den Ausschüssen für Kultur & Medien und für Bildung, Forschung & Technikfolgenabschätzung;4121053541;AfD
143;stamm_fibich;"Bundestagsabgeordnete, 
Vorsitzende des Petitionsausschusses,
Patientenbeauftragte der SPD-Bundestagsfraktion";4017796049;SPD
144;KorkmazGT;Digitalpolitikerin | stellvertretende Vorsitzende @NRWSPD;3930477322;SPD
145;YvonneMagwas;Vizepräsidentin des Deutschen Bundestages, direkt gewählte Bundestagsabgeordnete @cducsubt für das Vogtland.;3852561082;CDU
146;DerLenzMdB;"Mitglied des Deutschen Bundestags, CSU, Wahlkreis 213 Erding-Ebersberg, Energie; Wirtschaft; Nachhaltigkeit und alles andere..";3635730797;CSU
147;CarstenTraeger;"Umweltpolitischer Sprecher der SPD-Bundestagsfraktion; MdB";3577737256;SPD
148;Toens_NRW04;Sozialdemokrat, Europäer, Schalker, Mitglied des Bundestag für den WK Gelsenkirchen, stellvertretender Vorsitzender EU-Ausschuss #spd #schalke;3522875063;SPD
149;vonGottberg_AfD;MdB Wilhelm von Gottberg, Bundestagsabgeordneter der #AfD #Niedersachsen. | Nur Platzhalter-/Support-Acc., Kontakt also nicht hier, sondern an @AfDimBundestag.;3412973404;AfD
150;Jan_Nolte_AfD;Klarer Kurs für Deutschland! 🇩🇪;3408940048;AfD
151;WaldemarHerdt;Waldemar Herdt, @AfDimBundestag-MdB. #AfD #Bundestag | Folgen Sie bitte auch @AfD, @AfDRus & @AfDKompakt. https://t.co/QS2dIZ5bsA;3384824825;AfD
152;Ulrich_Oehme;Ulrich Oehme, @AfDimBundestag-MdB | Bitte auch @AfD & @AfDKompakt folgen! https://t.co/mVD5hakXZR;3384795790;AfD
153;PeterFelser;MdB Peter Felser;3384789731;AfD
154;AWidmannMauz;#MdB Wahlkreis #Tübingen, Staatsministerin a.D., @CDU-Bundesvorstand, Bundesvorsitzende Frauen Union #FU;3351905747;CDU
155;victorperli;Mitglied des Bundestages • Haushaltsausschuss • Meldeportal https://t.co/V8zESLgpPc • Sprecher für Umverteilung @linksfraktion • Vorstand @rosaluxstiftung;3350681139;DIE LINKE
156;stadler_svenja;🌹Bundestagsabgeordnete SPD | 📍Wahlkreis LK Harburg | 💰Haushaltspolitikerin mit ❤️ für 🌳 und 🐱| 👩🏼‍💼Kuratoriumsvorsitzende @mgw_berlin;3337459024;SPD
157;Thomas_Ehrhorn;@AfDimBundestag-MdB der #AfD #Niedersachsen.;3242322815;AfD
158;AndreasSteier;MdB für Trier und Trier-Saarburg 2017-2021 | Ingenieur und Erfinder mit mehreren Patenten | Künstliche Intelligenz und Innovationen | @cdu @cdurlp @cducsubt;3236928208;CDU
159;TorbjoernKartes;Kreisvorsitzender CDU Ludwigshafen, Familienvater, Rechtsanwalt;3188225915;CDU
160;Heiko_Wildberg;Dr. Heiko Wildberg, @AfDimBundestag-MdB | Profil im Aufbau. | Bitte auch @AfD & @AfDKompakt folgen!;3183992596;AfD
161;MarkusPaschke;SPD-Bundestagsabgeordneter a.D. für den Wahlkreis Unterems;3163499392;SPD
