text,prediction,true label
Jüngster MdL Bayern & Fraktionsvize 🌻 | stv. Vorsitzender Untersuchungsausschuss Maske | member @Greens_CoR | kämpft für 🇪🇺 🏳️‍🌈 | Chemiker,1,
"Member of German Parliament 2005-2021, Peace Activist, Achtung: blockiere Beleidigungen&Unterstellungen",6,
"Daten, #Fakten, Informationen: Tweets vom Team Staatsministerin der Bundesregierung für #Migration, #Flüchtlinge #Integration und #Antirassismus @ReemAlabali",0,
Alter Verwalter und smarter Stadtgestalter. Mein Ding: Menschen - Prozesse - Strukturen. #Sozi #UTB #GemischteStadt,6,
antifacist & intersectional feminist // cities for all 🌿 // re-elected MPP in Berlin // previously @germanyincanada // tweets deutsch + english // 030 ✊,0,
"MdEP @Left_EU aus Brandenburg. 
Sprecher für Handel, EU-Verträge & EP-Reform. 
Mitglied in den EP-Delegationen USA, #China, #EuroNest, Belarus & Moldau.",6,
"Historiker, Autor, Reserveoffizier, Parlamentarischer Staatssekretär a.D., Waidmann, Christdemokrat, das Bild ist von @toko. 🌲🌲🌲🌲",3,
"MdL, Stv. Fraktionsvorsitzende, Sprecherin für Agrarpolitik der bayerischen Landtagsgrünen - und Biobäuerin, https://t.co/V4opRG8Cmv",1,
"MdL für Lübeck - Sozi, Donaldist, Katzenfreund, Hundeskeptiker",2,
"Die Lage: Das Deutsche Volk führt einen Krieg gegen sich selbst. Wenn es siegt, ist es verloren.  
stv. Kreisvorsitzender AfD München Ost",3,
Verkehrspolitisch Interessierter  aus Berlin.  #allesaufgrün #Verkehrswende #Fußverkehr #A100 #BER #Radverkehr #TreKö,1,
Mitglied des Bundestages - Sicherheit • Feminismus • Abrüstung - WK Dresden II Bautzen II,1,
Der Landesverband der Alternative für Deutschland in Rheinland-Pfalz,6,
Feministin 🚺 🏳️‍🌈 Grüne Bundestagsabgeordnete #Frauen #Queer #Lesben #Equalrights #Menschenrechte #Kultur #FeminismUnited - Film- u. Fernsehwissenschaftlerin,0,
"Bürgermeister in der @stadt_dresden, Geschäftsbereich Stadtentwicklung, Bau, Verkehr und Liegenschaften, grüner Bundestagsabgeordneter bis 10/2020",1,
"Politiker/in
🔴 Landtagsabgeordnete @spdfraktionbrandenburg
📌 Im Wahlkreis #Premnitz #Milowerland #Rathenow #Rhinow #Wusterhausen #Neustadt (Dosse)",6,
"Aktivist, Vorstand von @Finanzwende , Geschäftsführer von @fw_recherche, 🌈 , Ex-Politiker",4,
Münchner. Bayer. Bundestagsabgeordneter. Obmann der CDU/CSU-Fraktion im Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung,6,
"Stv. Vorsitzende des #DGB-Sachsen, stv. Vorsitzende der Friedrich-Ebert-Stiftung #FES, ehemalige SPD-MdB, #Leipzig, privat hier",4,
"MdL @SaxGruen | Direktmandat im #Leipzig|er Westen | Vorsitzende im Ausschuss für #Wissenschaft, #Hochschule, #Medien, #Kultur & Tourismus im Landtag Sachsen",6,
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative 
https://t.co/LS4pNsxjLn",6,
"Niedersächsische Ministerin für Inneres und Sport, Politikwissenschaftlerin, Sozi, Feministin, hier privat, twittert selbst",0,
Wählerin der Christliche Mitte - Für ein Deutschland nach GOTTES Geboten http://t.co/6Xs5ID8yl3,3,
Seit dem 18.01.2019 Mitglied des hessischen Landtages für die AFD,6,
"Chef der Staatskanzlei M-V, MdL, Kommunalpolitiker und Sozi",2,
Bündnis21 e.V.,6,
🏛 Mitglied des Bundestages 🌻🗳 Köln-Südwest        🏳️‍🌈 Queer-Beauftragter der Bundesregierung 👩‍👩‍👧‍👦 Parl. Staatssekretär @bmfsfj Privat-Profil. er/he,0,
"ehemalige Bundestagsabgeordnete, Grüne, Menschenrechte, stv. Vorsitzende Transparency International Deutschland",1,
"Mitglied des Landtags NRW Sprecher für Wirtschaft und Energie der AfD Fraktion
Dipl.-Kfm.
https://t.co/gk7rdXDKE3
https://t.co/JvnRvcPIdR",5,
"Bremerin, Präsidentin der Bremischen Bürgerschaft, Juristin, Sozialdemokratin, ‘auf Zack‘, hier mit meiner persönlichen Meinung. Frauchen von @pupperpoppy",2,
"Fortschritt für alle. Durch Ideen. Die Partei des Fortschritts.

https://t.co/dcc7eHry7O

https://t.co/04XBxE8NbX",6,
"Politik, Polemik und ein hauch privates🐨               
1,5° Ultra🌻🌍
#fckafd",4,
"Offizieller Twitter-Account des Parteivorstandes der 
Deutschen Kommunistischen Partei (DKP), 
Hoffnungstraße 18, 45127 Essen,
E-Mail: twitter@dkp.de",2,
#Abgeordnete #BayerischerLandtag #Bücherwurm #liebtfrischeluft 🍃,6,
"Weltbürger, Linker, Mitglied des Abgeordnetenhauses von Berlin, hier privat",0,
🏛 MdBB | 🏙 Sprecher Stadtentwicklung | Für eine lebendige und grüne Innenstadt 🏡,6,
Landtagsabgeordneter der Freien Wähler Fraktion,6,
AfD Kämpfer patriotisch sozial,5,
Es zwitschert der Landesverband der AfD Rheinland-Pfalz + https://t.co/pbIuKuig0g… + https://t.co/NlBQE9VTc4… + https://t.co/7O1Dgd2JFf,5,
Bundesministerium für #Ernährung und #Landwirtschaft. Bundesminister ist @cem_oezdemir Impressum: https://t.co/CT6uVMJsh1,6,
"Präsident des Landtages Sachsen-Anhalt, Präsident DNK @kulturerbe_DNK, STS Kultur a.D., Fan vom Ringheiligtum Pömmelte und #Kultur #wirdgemacht #gibtSinn",6,
Hamburg Parteien in Deutschland Bundesregierung &-behörden Demokratie Migration Frauenrechte,6,
"Ministerium für Familie, Frauen, Kultur und Integration in #RLP.
Datenschutz & Netiquette: https://t.co/hHgqs11rcg…",2,
Europaabgeordneter 🇪🇺 für Bremen und Bremerhaven (@spdde) | Dieser Account ist nicht mehr aktiv - Anfragen bitten per Mail: info✉https://t.co/nyCNZPF5lF,2,
"Stolzer Zwillings-Mädchen-Papa, Ehemann, Bundestagsabgeordneter (2013-2021), Focus-Kolumnist, Jäger, Skifahrer, Klartexter, vormalig SPD- jetzt CSU-Mitglied",3,
Feministin & begeisterte Homosexuelle| Späti-Fan| Milieuschützerin |,0,
Künstlerin Kulturlobbyistin Publizistin | #kultur #antira #feminismus,0,
"Stellvertretender Vorsitzender der AfD-Bundestagsfraktion im 20. Deutschen Bundestag. 

FB: https://t.co/APcCpLsHGw…
IG: https://t.co/vkMUrOy2iw",5,
🏛 Abgeordneter für den #Wedding | Sprecher für Stadtentwicklung und Brandenburg @spdfraktionbln | Kennt das Ende der Fahnenstange. 🚩,6,
"Bundestagsabgeordneter, stv. Vorsitzender Innenausschuss, Sprecher für Migration und Integration, Beauftragter für Kirchen und Religionsgemeinschaften @spdbt",2,
"bewegungslinkelinke, kapitalismuskritische  Verkehrswendepolitikerin für Klimagerechtigkeit und Überwindung imperialer Lebensweise",6,
"⌨ Pressestelle des Finanzministeriums #RLP
Impressum: https://t.co/wzybQrwsJj Datenschutz: https://t.co/KNpILUnS4W Netiquette: https://t.co/9IbqbNqW6e",2,
"stellv. Fraktionsvorsitzender der AfD-Fraktion in der BVV Pankow,
Physiotherapeut (https://t.co/lZQskZovHI.),
ehemaliger Abgeordneter im Berliner Abgeordnetenhaus (18.WP)",5,
"Zwei Städte, 27 Abgeordnete: Wir für Bremen und Bremerhaven.
Hier twittert das Presseteam der SPD-Fraktion Bremen.",2,
💚🌻 MdL Hessen Sprecherin für #Gesundheit #Geburtshilfe #Kinderrechte #Kinderschutz #Kinderbetreuung #Grundschulen,6,
"Tiere, Klima, Gerechtigkeit.

#vegan #tierrechte #agrarwende #mobilitätswende #lsbttiq",6,
Landtagsabgeordneter im Wahlkreis Eppingen  #ltwbw21 im #wkeppingen - Stadtrat Grüne Lauffen a.N. - Mitglied bei,1,
AfD Kreissprecher Gera-Jena-Saale-Holzland-Kreis (https://t.co/FURRanAK0T),5,
"#MdB 20. Deutscher #Bundestag, stellv. Fraktionsvors. THERE IS NO SUCH THING AS „MY PRONOUN“ Tweets v. #BvS & Team. https://t.co/SJ6nKYW3cW",6,
Für die Zukunft unserer Kinder! #Frankensprecher #Kultur #Soziales #Gesundheit #Pflege #FREIEWÄHLER #Ansbach #Mittelfranken #Franken #MdL #BayernsstarkeMitte,6,
"Umwelt-, Klima -, Energie- und Verkehrspolitik. FDP.",4,
"MdL, Mitglied des Thüringer Landtags
Geschäftsführende Gesellschafterin VACOM",6,
Bürgermeister der Freien und Hansestadt Hamburg | Präsident des Deutschen @Bundesrat | hier persönlich | dienstlich @Senat_Hamburg,6,
Oberbürgermeister in Hamm und InterimsLandesvorsitzender der NRWSPD. -hier privat unterwegs-,2,
Die große Volkspartei der Mitte in #NRW. Vorsitzender & Ministerpräsident: @HendrikWuest. Generalsekretär: @PaulZiemiak.,6,
"Basisdemokratische Partei Deutschlands: Volksabstimmungen & Direkte Demokratie.

💚Freiheit
💙Machtbegrenzung
❤️Achtsamkeit
🧡Schwarmintelligenz",2,
"Mit Malu Dreyer gemeinsam für ein starkes, gerechtes, sozialdemokratisches Rheinland-Pfalz! Mehr dazu auf https://t.co/1A0ND0CrS4! 🤝❤️",6,
Für die Menschen in unserer Heimat. Mitglied des Landtages Sachsen-Anhalt+Kreisrätin+Mutter+Ehrenamtlerin+Demokratin+Unternehmerin - EINE VON EUCH - immer!,6,
Oberst i.G. (a.D.) | Ehemaliger AfD-Fraktionsvorsitzender im Abgeordnetenhaus von Berlin (Follow und RT sind keine Zustimmung),5,
"Stellvertretende Ministerpräsidentin Niedersachsens, Kultusministerin und direkt gewählte grüne Landtagsabgeordnete für den Wahlkreis Hannover-Mitte.",1,
