text,prediction,true label
"Ingenieur, Naturwissenschaftler, Ehrenamtler, Beamter in Niedersachsen. Lebe mit meiner Familie schwerpunktmäßig in Bremen und zeitweise in Niedersachsen.",2,
#💚 privat hier #Berlinerin,0,
"Leidenschaftlicher Münsterländer. Für den Wahlkreis Coesfeld-Steinfurt II im Deutschen Bundestag. CDU. Faible für Innenpolitik und den offenen, fairen Dialog.",3,
gelernte Verfahrensmechanikerin.  Bundestagsabgeordnete. sportpolitische Sprecherin @gruenebundestag. Mitglied im Ausschuss für Arbeit & Soziales.,1,
Landtagsabgeordneter Niedersachsen B90/GRN | Verbraucherschützer & Europäer | Stadtrat & Kreistagsabgeordneter #Brake #Wesermarsch #Hannover,6,
"Rechtsanwalt, MdB, stellv. Vorsitzender im Wirtschaftsauschuss @Bundestag und der @MIT_Bund",6,
Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur,0,
Tätig als Heilerziehungspfleger | Werkzeugmacher | 2017-2021 Mitglied des Deutschen Bundestag | parteilos | Geschichte & Politik | #GemeinsamZukunftgestalten ☀️,6,
"MdL, Hessen, sozial- und gesundheitspolitischer Sprecher der Grünen Landtagsfraktion",1,
Fraktionsvorsitzender der Grünen Landtagsfraktion in #Niedersachsen aus #Amelinghausen. Medienpolitischer Sprecher und Bahnjunkie #ltnds,0,
"Alternder Fußballer & Mitglied des Deutschen Bundestags, WK #Friedrichshain #Kreuzberg #PrenzlauerBergOst & Vorsitzender DIE LINKE Friedrichshain-Kreuzberg",0,
"Mitglied des Bundestages, Kreisrat, etc selten privat aber immer im Einsatz für Freiheit und Demokratie",6,
"Mitglied des Landtages Brandenburg - WK 19, liebt Familie, Freiheit und Fairness. LEGO-Coach",6,
"MdL Landtag MV, Mitglied der Stadtvertretung Neubrandenburg
it's not easy to be green, hier privat unterwegs
retweet bedeutet nicht automatisch Zustimmung",0,
Rechtsanwältin | Lawyer 💚 Mitglied des Bundestages | Member of Deutscher #Bundestag 🌻 #wk83 #Friedrichshain #Kreuzberg #PBergOst #Berlin,3,
"Parlamentarische Staatssekretärin bei der Bundesministerin für Arbeit und Soziales, MdB",6,
"Bundestagsabgeordnete, Vorsitzende des Tourismusausschuss im Deutschen Bundestag, stv. Vorsitzende der Mittelstandsunion (MIT)",0,
Umweltstaatssekretär a.D. im Grünen Herzen Deutschlands - hier privat,0,
#Privat | #Berliner in der dritten Generation | #UNVEU | @bsb_berlin,3,
Parlamentarischer Geschäftsführer der CDU-Fraktion im Hessischen Landtag,6,
"Direkt gewähltes Mitglied des Abgeordnetenhauses von Berlin  
-  vor Ort. in Kaulsdorf-Nord und Hellersdorf-Süd",6,
Als CDU-Abgeordneter. Für Sachsen. In Europa. Hier twittern mein Brüsseler Team & ich.,6,
NRW Landtagsabgeordneter für den Essener Süden | Sprecher für Bauen 🏗 und Wohnen 🏡 der CDU Landtagsfraktion | Vater von vier Töchtern 👨‍👩‍👧‍👧👶🏼👶🏼,0,
Bundestagsabgeordnete (MdB) und parl. Staatssekretärin im BMEL – B’90/Die Grünen | Für eine zukunftsfähige Land- und Ernährungswirtschaft 🌻🥕🚜,6,
"MdB für BÜNDNIS 90/DIE GRÜNEN, WK Nürnberg-Süd/Schwabach. Obmann im Finanzausschuss des Deutschen Bundestages. Co-Sprecher der bayerischen Landesgruppe.",0,
Bundesministerium der Verteidigung. Presseanfragen nur via https://t.co/ZzaxS9pMUq | German MoD official | Also follow: @bundeswehrinfo,2,
🏛 Bundestagsabgeordneter 🔴 Sozialdemokrat 📌 Wahlkreis Ludwigsburg 👨‍⚖️ Rechtsausschuss 🇩🇪🇹🇷 Sprecher in der Dt./Türk. PG,0,
"Bayerisches Staatsministerium für Gesundheit und Pflege – Offizieller Twitter Account.
Informationen zu Gesundheit und Pflege in Bayern und zur Corona-Pandemie.",6,
