text,prediction,true label
"Bundestagsabgeordneter, Wahlkreis Starnberg-Landsberg, #CSU, Mitglied in den Ausschüssen für Umwelt und für Bau, Wohnen, Kommune und Stadtentwicklung",3,
Philologin | Mitglied des Hessischen Landtags | Mittelstandspolitische Sprecherin,3,
"Mitglied der Hamburgischen Bürgerschaft, Genossin, Mutter, twittert selbst.",6,
President German Armed Forces Reserve Association,6,
"Für Oberfranken und die @CSU im Europäischen Parlament. Chair of the Budgetary Control Committee (CONT), Member of the Committee on Budgets and of the CCC",3,
"Christliche, politische Partei.

2018/19 mit @Arne_Gericke MdEP aD im Europaparlament.

🇪🇺Mitglied bei @ECPM_official & @ecrgroup",3,
Thomas de Jesus Fernandes - Stellv. Fraktionsvorsitzender der AfD im #Landtag MV| #Politik #MV #AfD #LtMV #MdL #AfDFraktion_MV #Schwerin #Waren,5,
Willkommen bei der CSU im Bundestag. Aus Bayern. Für Deutschland.,3,
"Landtagsabgeordneter #NRW |
Kreissprecher im AfD-Kreisverband Warendorf",5,
Hier twittert keine Rentnerpartei! Wir kämpfen für soziale Gerechtigkeit in allen Altersklassen.,2,
"Systeme überwinden, die uns kaputt machen: Kolonialismus/Kapitalismus/Rassismus/white supremacy/Antisemitismus/Patriarchat/cis-Heteronormativität/Ableismus",6,
"bündnisgrüner MdL in Brandenburg, zuständig für Wirtschaft, Europa und Kommunales",6,
"https://t.co/8Wmle0XFeE.Verkehrswesen,Fußball-Schiri/-Spieler,Vizepräs.Berliner Fußball, Chorsänger, SPD, Senator für Stadtentwicklung, Bauen und Wohnen in Berlin, hier privat",6,
"PStS i.R., Kreistagsmitglied Rhein-Sieg-Kreis und Stadtrat Lohmar",6,
#Bayer #Abgeordneter WK Regensburg / Ausschuss #Arbeit und #Soziales / #CSU,3,
Enrico Komning | AfD | Mitglied des Bundestages,5,
"AfD-Landtagsabgeordneter im Land Brandenburg
Vorsitzender im AfD-Stadtverband Frankfurt (O), stellv. AfD- Fraktionsvorsitzender in Frankfurt (O.)",5,
Bürger-Bewegung ins Parlament! Bürger-Bewegung in die AfD!| Landtagsabgeordneter in Brandenburg,5,
"Dr. Patrick Breyer, Europaabgeordneter/Member of the European Parliament @Piratenpartei & @EuropeanPirates. 
#JoinMastodon: @echo_pbreyer@digitalcourage.social",6,
"Klaus Holetschek MdL (CSU), in Memmingen daheim, für Bayern Minister, im Allgäu verwurzelt.
#bayern #bayerngemeinsam
https://t.co/Hsx5xH96kN",3,
"Kreistagsabgeordneter SPN, ehem. Bundestagsabgeordneter (2013-21)",2,
-Abgeordneter im Landtag Rheinland-Pfalz (WK Bitburg-Prüm)     -Landesgeschäftsführer der SGK Rheinland-Pfalz,6,
"Generalleutnant a. D., Stv. Vorsitzender im Arbeitskreis #Außenpolitik, Mitglied im Arbeitskreis #Verteidigung, Wahlkreis Friesland-#Wilhelmshaven-Wittmund",6,
"Ich bin Lena Kotré und Abgeordnete der AfD im Landtag Brandenburg.
Ihnen werde ich im Landtag eine starke Stimme geben!",5,
"MdA, Sprecherin für #Personal #Verwaltung #Bürgerbeteiligung, direkt gewählt in #Lichtenberg #Friedrichsfelde #Weitlingkiez #Tierpark #Berlin natürlich links",0,
Innen- und sportpolitischer Sprecher der AfD Fraktion im Abgeordnetenhaus von Berlin #AGH,5,
Stellv. AfD-Fraktionsvorsitzender | Ihr Abgeordneter aus Rheinland-Pfalz,5,
"Sandra | 36, Saarländerin, Christdemokratin, Landtagsabgeordnete & Lehrerin im Herzen |",3,
"Abgeordneter der AfD im sächsischen Landtag. 

Haushalts- und Finanzpolitischer Sprecher

Vorsitz Auschuss Regionalentwicklung

Stadtrat in Dippoldiswalde",5,
AfD | Brandenburg | Abgeordneter im Deutschen Bundestag | Arbeits- und sozialpolitischer Sprecher der AfD-Fraktion | stv. Mitglied im Auswärtigen Ausschuss,5,
"Mensch, Deutscher, Europäer, Christdemokrat",3,
"Twitter-Account des Ministeriums für #Umwelt, #Naturschutz und #Verkehr des Landes NRW (MUNV).
Impressum: https://t.co/vNrPDzOtOA",6,
Direkt gewählt in #Leipzig #Leipzigmitte für den #Landtag und Bildungspolitik für @saxgruen #Sachsen #fff #wirsindmehr #unteilbar  #usedom,1,
"Mitglied des Berliner Abgeordnetenhauses -
AfD Fraktion - Rechtspolitischer Sprecher
Antikommunist - Nationalliberal - Patriot - Islamkritiker",5,
Die SGP ist die deutsche Sektion des Internationalen Komitees der Vierten internationale (#ICFI). Wir veröffentlichen die World Socialist Web Site (https://t.co/g4gHoht0sq).,2,
Mitglied des Deutschen Bundestages 🇩🇪 | Direkt gewählte Abgeordnete für den Wahlkreis FFB/DAH 💙🤍 | Bildung und Forschung 📚🔬,6,
"Professor für Verbraucherschutz
Mitglied des dt. Bundestages 2017-2021 
2015-2017 Sprecher AfD BW 
Bücher u.a.: ""Was von Deutschland übriggbleibt""; ""DEXIT"".",5,
"Mitglied des Landtags von MV, Agrarpolitischer Sprecher, Landesschatzmeister, Vorsitzender des AfD Kreisverbands VG, Mitglied des Kreistags VG",5,
"Landesvorsitzender Mittelstands - und Wirtschaftsvereinigung MIT Sachsen-Anhalt, Landtagsabgeordneter Sachsen-Anhalt",6,
"AfD MdL aus Schwerin, Dipl.-Kfm., Finanzberater, Journalist",5,
"Marcus Spiegelberg | MdL von Sachsen-Anhalt | Direktkandidat aus Weißenfels | Stellv. Landesvorsitzender der JA Sachsen-Anhalt | 
Teamtweets markiert mit *",6,
Bis zum 06. Juni 2021 Parlamentarischer Geschäftsführer der AfD-Fraktion Sachsen-Anhalt | Bundestagsabgeordneter für den Wahlkreis Mansfeld,5,
"Vorsitzender Südschleswigscher Wählerverband (SSW) im Schleswig-Holsteinischen Landtag - Politik, Nordfriesland, Friesland, Friesisch, Schleswig-Holstein, HSV.",6,
"Geb. in Wiesbaden, aufgewachsen München, s. 1986 Berlin, v. 2013 bis 2023 Landesschatzmeister AfD Berlin, Mitglied AgH Berlin https://t.co/hy2InhMu7f",5,
MdB CSU | Stv. Vorsitzender Auswärt. Ausschuss | Deputy Chair Foreign Affairs Committee | Sprecher für Internationales & Sicherheit @csu_bt | Stv. Präs. VdRBw,3,
🎗Seit 1946 : BESSER FÜR BAYERN .🎗,6,
"von 2016-2021 für die AfD im Landtag BW. Wahlkreis 23, Main-Tauber. Jetzt Bundestagsabgeordnete der AfD. Landesgruppe Baden-Württemberg",5,
"AfD-MdL aus Thüringen.😀 
Sprecher für  Wohnungsbau und Verkehr
Fraktionschef AfD-Kreistagsfraktion ABG",5,
"Wahlkreis #Marzahn 1 direkt gewonnen,
#AFD Fraktion im #AGH, Sprecher für Migration und Remigration,
LaVo Mitglied AfD Berlin

https://t.co/Zr3aljKX4f",5,
Bezirksvorsitzende @LinkePankow * MdA 2021-2023,0,
Soziale Gerechtigkeit muss auch gelebt werden.,2,
"Unternehmer, 59, Vorsitzender des Vereins 
Freunde der Staatsreparatur e.V. und
Stv. Vorsitzender des AfD-Bezirksverbandes Steglitz-Zehlendorf.",5,
"Berufsschullehrer, Dozent in der Lehrerfortbildung / Fokus: Medieneinsatz, e-learning /
Freier Demokrat
Aktuell: Mitglied des Landtages von Sachsen-Anhalt",4,
"Rechtsanwalt, der die Interessen der Menschen aus dem Landkreis München im Bayerischen Landtag vertritt (CSU)",3,
"MdL im Wahlkreis #Konstanz. stv. Fraktionsvorsitzende 🏛 Vorsitzende im Ausschuss für Wissenschaft, Forschung & Kunst. https://t.co/FcAircF8bU",3,
"MdL Bayern, Sprecher für Sport, Medien, Digitale & Berufliche Bildung, #Grüne, Kreisrat, Löwenfan, Handballer, Optimist.",1,
"Geboren wurde ich 1965 in Sachsen-Anhalt, habe Landwirtschaft studiert, war Teil der Friedlichen Revolution 1989 und bin heute mit Herz und Seele Liberale.",4,
stellvertretende Vorsitzende der AfD-Fraktion im Landtag Rheinland-Pfalz 🇩🇪,5,
MdL in RLP - hier privat #Sozialdemokratin #Politik 📌 #Hunsrück #Mosel #Biologin #Molekularbiologie #Neuro🧠 #Klimaschutz 🌍 #Wissenschaft,6,
"Mitglied des Landtags von Baden-Württemberg (2011-2021). Landesvorsitzende des Arbeiter-Samariter-Bund BW & Präsidentin des OBV, Systemische Moderatorin",6,
Deutscher Bundestag  ⚒Für unser Erzgebirge im Bundestag⚒ AfD,5,
JU Bezirksvorsitzender | Stadtrat | Kreisrat | #Kronach,3,
@dorisachelwilm@norden.social,6,
"grüne MdB aus Hamburg-Altona für Gesundheit 🩺, Verbraucher*innenschutz 🛒, Gleichstellung. Plus: Langstreckenläuferin🏃🏻‍♀️, Hummer-Sammlerin 🦞, Mutter 👩‍👧",1,
Mitglied des Deutschen Bundestages | Unternehmer | Dipl.-Volkswirt | Vorstand AfD HD | Obmann der AfD-Fraktion im Wirtschaftsausschuss,5,
"▫ Diplom-Jurist, Wirtschaftsjurist (Univ. Bayreuth) ▫ Mitglied des Bundestages ▫ Rechtsausschuss ▫ Bezirksvorsitzender AfD Oberfranken 🇩🇪",5,
"(he/him) Mitglied des Landtages RLP, Vorsitzender des Gesundheitsausschusses, Mitgl. im Kulturausschuss , MdB 2002-2013",6,
Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium,3,
Das offizielle Twitter-Profil des Abgeordneten der AfD-Fraktion im Landtag Brandenburg.,5,
🇩🇪 Bundestagsabgeordneter @cdu 🗂🦸 #Versorgungssicherheit 🔋 #Kreislauf ♻️ #Innovation 🚀 & Games 🎮 @vfb ⚪️🔴 Impressum 👇,3,
